precinct,DEM,REP,CON,GRE,WOR,IND,WEP,REF,SAM,SAM,SAM,LBT
Middletown - Ward 1-1,151,72,9,5,3,5,0,1,1,0,1,2
Middletown - Ward 1-2,76,32,4,1,1,0,1,0,0,0,0,3
Middletown - Ward 1-3,147,64,3,1,3,1,0,2,2,0,2,5
Middletown - Ward 1-4,35,20,1,1,0,2,0,0,0,0,0,1
Middletown - Ward 1-5,134,59,7,1,0,0,0,2,1,0,1,2
Middletown - Ward 1-6,106,48,1,1,2,3,1,0,6,0,6,3
Middletown - Ward 2-1,124,61,11,2,2,2,1,1,1,0,1,0
Middletown - Ward 2-2,100,55,9,4,3,2,1,1,3,0,3,2
Middletown - Ward 2-3,144,66,5,12,1,1,0,1,5,0,5,7
Middletown - Ward 2-4,200,54,10,7,4,0,2,2,1,2,3,1
Middletown - Ward 2-5,116,58,4,1,1,2,3,0,0,0,0,1
Middletown - Ward 2-6,126,56,4,0,3,1,2,2,0,0,0,1
Middletown - Ward 2-7,80,47,7,1,0,1,0,2,0,0,0,1
Middletown - Ward 3-1,170,106,12,9,1,5,1,2,2,1,3,2
Middletown - Ward 3-2,120,75,12,7,3,4,2,4,1,0,1,5
Middletown - Ward 3-3,92,34,7,4,3,1,0,1,0,0,0,1
Middletown - Ward 3-4,211,79,7,4,4,4,2,1,3,0,3,7
Middletown - Ward 3-5,169,51,2,2,1,1,2,1,0,1,1,0
Middletown - Ward 3-6,0,0,0,0,0,0,0,0,0,0,0,0
Middletown - Ward 4-1,225,101,9,9,3,6,3,1,3,0,3,3
Middletown - Ward 4-2,236,72,9,3,2,3,1,0,2,0,2,1
Middletown - Ward 4-3,114,29,2,3,3,0,2,1,0,0,0,0
Middletown - Ward 4-4,237,94,11,9,7,2,1,2,1,0,1,3
Middletown - Ward 4-5,219,98,14,6,2,4,5,2,3,0,3,5
Middletown - Ward 4-6,361,104,17,5,4,4,3,0,4,0,4,4
Middletown - Ward 4-7,278,53,4,2,5,5,1,1,3,0,3,3
Middletown - Ward 4-8,20,4,0,0,1,1,0,0,1,0,1,0
City of Newburgh 1-1,159,12,1,1,7,3,1,0,1,0,1,0
City of Newburgh 1-2,309,27,2,10,7,4,2,0,2,1,3,0
City of Newburgh 1-3,188,29,4,1,3,1,2,1,3,0,3,4
City of Newburgh 1-4,235,96,9,6,15,6,6,6,4,1,5,2
City of Newburgh 2-1,315,42,4,7,7,3,2,2,0,0,0,2
City of Newburgh 2-2,359,50,4,6,18,1,1,0,3,0,3,5
City of Newburgh 3-1,229,134,15,2,4,2,1,4,3,0,3,7
City of Newburgh 3-2,285,102,10,7,11,7,3,4,4,0,4,2
City of Newburgh 3-3,364,42,2,1,2,4,2,1,1,0,1,1
City of Newburgh 3-4,150,93,7,7,4,2,1,1,0,0,0,0
City of Newburgh 4-1,46,2,2,0,0,1,0,0,0,0,0,0
City of Newburgh 4-2,189,40,5,3,4,0,1,1,0,0,0,1
City of Newburgh 4-3,234,68,9,10,6,2,3,1,1,0,1,4
City of Newburgh 4-4,239,89,8,7,5,5,3,0,3,0,3,3
City of Newburgh 4-5,124,14,0,1,4,1,1,0,0,0,0,1
Port Jervis 1-1,173,182,21,9,2,6,0,2,7,0,7,1
Port Jervis 1-2,27,22,4,0,1,4,1,1,1,0,1,0
Port Jervis 2-1,101,150,10,3,5,2,2,3,1,0,1,6
Port Jervis 2-2,87,108,11,5,4,4,0,1,2,0,2,3
Port Jervis 3-1,115,171,12,4,5,3,1,3,3,0,3,5
Port Jervis 3-2,121,181,15,2,3,6,0,0,2,0,2,2
Port Jervis 4-1,128,105,11,5,1,2,1,2,1,0,1,3
Port Jervis 4-2,134,124,11,4,1,5,0,1,2,0,2,0
Blooming Grove 1-1,99,82,9,3,1,0,0,5,6,0,6,3
Blooming Grove 1-2,225,200,25,7,3,12,2,8,3,0,3,3
Blooming Grove 1-3,190,173,20,4,1,3,0,17,3,0,3,8
Blooming Grove 1-4,17,34,4,1,0,0,0,3,1,0,1,0
Blooming Grove 2-1,71,82,16,1,1,1,1,8,3,1,4,1
Blooming Grove 2-2,167,210,35,8,1,5,0,4,7,1,8,9
Blooming Grove 2-3,128,192,25,8,3,0,1,5,8,0,8,9
Blooming Grove 3-1,122,188,36,6,7,2,3,18,7,0,7,6
Blooming Grove 3-2,117,118,21,5,2,1,2,5,6,0,6,6
Blooming Grove 3-3,103,130,23,5,4,1,0,11,3,0,3,2
Blooming Grove 3-4,18,3,2,3,1,0,0,0,1,0,1,1
Blooming Grove 4-1,82,123,15,2,1,13,1,17,4,0,4,3
Blooming Grove 4-2,127,135,22,6,3,9,1,14,9,0,9,7
Blooming Grove 4-3,88,104,22,6,3,2,0,31,5,0,5,5
Blooming Grove 5-1,113,195,50,4,7,3,0,8,4,1,5,11
Blooming Grove 5-2,12,29,6,0,2,0,0,0,1,0,1,1
Blooming Grove 5-3,121,205,29,11,3,6,5,18,10,0,10,7
Blooming Grove 5-4,119,169,22,5,3,1,0,7,1,0,1,3
Blooming Grove 5-5,23,21,10,2,0,1,0,0,0,0,0,2
Blooming Grove 6-1,112,158,21,5,3,5,0,6,2,0,2,3
Blooming Grove 6-2,126,216,28,8,0,7,2,8,7,0,7,5
Blooming Grove 6-3,150,230,49,13,4,0,1,18,9,0,9,14
Blooming Grove 6-4,8,13,5,0,0,0,0,3,0,0,0,2
Chester 1,221,231,27,9,6,5,3,12,3,1,4,8
Chester 2,125,147,17,7,2,4,4,3,4,0,4,2
Chester 3,167,287,32,8,7,6,2,15,6,0,6,10
Chester 4,217,259,41,7,3,4,3,15,2,1,3,5
Chester 5,134,250,50,2,2,7,2,12,3,0,3,6
Chester 6,139,131,27,10,1,1,0,5,3,0,3,5
Chester 7,202,253,22,9,4,9,2,14,2,0,2,8
Chester 8,198,138,13,5,0,2,6,4,5,1,6,4
Chester 9,105,74,4,3,1,0,2,2,3,0,3,7
Chester 10,127,160,25,13,5,1,2,4,4,0,4,7
Chester 11,98,154,22,6,1,2,1,9,1,0,1,4
Chester 12,163,233,39,15,3,4,1,4,4,1,5,6
Cornwall 1,222,171,26,11,13,7,3,3,3,1,4,9
Cornwall 2,145,148,21,3,4,5,1,4,2,0,2,4
Cornwall 3,189,177,25,7,5,4,4,2,2,0,2,5
Cornwall 4,181,235,43,9,10,6,2,9,6,0,6,2
Cornwall 5,110,195,13,5,1,2,2,1,1,1,2,2
Cornwall 6,167,182,31,8,5,4,4,4,4,2,6,12
Cornwall 7,92,138,15,4,3,1,2,0,1,0,1,10
Cornwall 8,239,233,44,8,10,4,5,7,4,0,4,7
Cornwall 9,144,154,24,14,5,5,6,2,3,0,3,7
Cornwall 10,115,168,22,4,4,2,1,0,2,0,2,13
Cornwall 11,194,264,34,10,5,7,5,6,3,0,3,10
Cornwall 12,196,183,22,4,5,1,0,2,0,0,0,2
Cornwall 13,115,123,13,3,4,1,3,4,8,0,8,4
Cornwall 14,130,221,25,12,9,7,3,5,3,0,3,4
Crawford 1,125,222,24,6,3,3,2,5,0,0,0,11
Crawford 2,101,222,20,5,2,2,0,0,1,0,1,10
Crawford 3,154,322,53,8,3,3,0,5,2,0,2,6
Crawford 4,90,255,37,24,5,1,1,1,4,0,4,11
Crawford 5,110,240,44,6,5,4,1,5,5,0,5,7
Crawford 6,139,312,40,4,6,5,2,9,5,2,7,16
Crawford 7,129,228,35,8,1,4,3,1,1,0,1,4
Crawford 8,115,193,18,3,5,0,2,3,2,0,2,5
Deerpark 1,88,170,30,2,0,5,4,0,2,0,2,4
Deerpark 2,86,207,23,6,0,5,2,6,3,0,3,1
Deerpark 3,118,209,15,5,1,5,2,2,2,0,2,2
Deerpark 4,121,228,44,2,1,5,0,0,2,0,2,4
Deerpark 5,86,253,35,4,2,3,0,1,4,0,4,8
Deerpark 6,75,119,18,6,3,4,1,3,1,0,1,0
Deerpark 7,74,260,26,2,2,3,2,2,1,0,1,5
Goshen 1,183,175,21,7,5,7,2,2,5,0,5,6
Goshen 2,115,66,16,6,1,2,0,2,0,0,0,5
Goshen 3,191,186,26,7,2,2,1,2,1,0,1,8
Goshen 4,218,283,41,18,9,6,6,7,7,2,9,8
Goshen 5,209,252,30,10,4,4,7,5,5,2,7,2
Goshen 6,106,181,25,7,0,1,1,6,7,0,7,10
Goshen 7,187,285,29,11,3,2,2,3,0,0,0,14
Goshen 8,115,203,23,9,3,4,3,3,3,0,3,7
Goshen 9,209,277,51,14,6,4,5,3,3,0,3,11
Goshen 10,162,236,40,8,4,4,1,4,5,0,5,9
Goshen 11,199,156,26,4,1,3,1,2,3,0,3,6
Goshen 12,104,156,20,3,2,2,1,5,2,1,3,1
Goshen 13,20,16,2,1,0,2,0,0,2,0,2,1
Greenville 1,101,285,33,6,2,2,1,2,0,0,0,5
Greenville 2,135,327,36,4,8,2,7,3,1,0,1,11
Greenville 3,81,206,30,0,3,2,2,3,4,0,4,5
Greenville 4,124,238,33,5,1,4,0,1,4,0,4,9
Hamptonburgh 1,161,217,26,10,3,2,3,1,2,0,2,7
Hamptonburgh 2,142,316,27,19,0,3,4,14,8,0,8,7
Hamptonburgh 3,139,225,31,4,4,2,2,4,9,0,9,8
Hamptonburgh 4,136,197,16,6,4,4,2,6,4,1,5,4
Hamptonburgh 5,127,256,37,8,7,3,1,3,4,1,5,7
Highlands 1,183,181,14,4,4,7,5,5,1,1,2,5
Highlands 2,172,63,10,5,8,7,2,4,1,0,1,0
Highlands 3,171,128,14,6,9,5,2,3,6,0,6,2
Highlands 4,132,213,21,8,6,3,1,2,2,0,2,4
Highlands 5,109,123,10,4,6,4,1,0,3,0,3,2
Highlands 6,130,128,21,3,6,3,4,2,1,0,1,5
Minisink 1,102,294,36,7,1,5,0,2,2,1,3,8
Minisink 2,119,291,37,13,5,4,2,5,4,0,4,4
Minisink 3,77,201,28,2,3,1,1,1,4,0,4,3
Minisink 4,115,216,28,7,2,3,2,2,3,0,3,8
Monroe 1,195,246,35,8,6,2,4,12,4,0,4,3
Monroe 2,158,237,27,9,1,3,2,11,3,0,3,2
Monroe 3,134,169,16,6,1,5,4,6,5,2,7,5
Monroe 4,189,228,20,10,6,4,1,13,2,0,2,2
Monroe 5,187,205,16,6,3,0,3,3,2,0,2,4
Monroe 6,137,182,22,6,1,5,1,8,3,0,3,8
Monroe 7,191,275,29,10,4,3,3,6,4,1,5,4
Monroe 8,134,114,10,3,3,5,1,5,2,0,2,3
Monroe 9,121,98,11,9,0,5,0,2,1,0,1,4
Monroe 10,158,248,36,8,3,7,2,9,5,0,5,1
Monroe 11,100,210,16,4,1,0,1,2,6,0,6,6
Monroe 12,140,234,30,6,4,5,3,2,2,1,3,2
Monroe 13,148,154,22,8,4,5,4,5,7,0,7,4
Monroe 14,115,199,24,7,3,2,2,3,1,1,2,3
Monroe 15,233,253,34,17,6,3,6,10,8,0,8,11
Monroe 16,111,168,15,6,4,2,1,5,5,0,5,0
Monroe 17,125,212,30,9,2,3,2,8,5,0,5,5
Monroe 18,19,39,2,0,2,11,0,0,0,0,0,3
Monroe 19,112,79,7,2,0,1,1,2,3,0,3,4
Monroe 20,0,0,0,0,0,0,0,0,0,0,0,0
Monroe 21,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery 1,137,252,40,9,3,4,1,3,3,1,4,6
Montgomery 2,265,254,35,12,5,6,2,3,3,1,4,5
Montgomery 3,274,235,24,12,2,6,1,1,2,0,2,11
Montgomery 4,105,246,33,3,4,5,1,1,1,0,1,16
Montgomery 5,164,223,23,17,3,6,4,8,5,0,5,11
Montgomery 6,128,171,14,9,6,2,2,4,6,0,6,12
Montgomery 7,165,214,19,5,2,6,1,7,2,0,2,6
Montgomery 8,192,134,25,3,5,2,0,1,2,1,3,6
Montgomery 9,102,217,28,8,2,2,0,4,2,0,2,8
Montgomery 10,102,219,38,2,1,7,2,3,5,0,5,11
Montgomery 11,117,219,23,3,6,6,1,2,3,0,3,11
Montgomery 12,203,140,21,5,3,3,2,2,4,0,4,14
Montgomery 13,149,299,46,2,5,4,1,2,3,2,5,9
Montgomery 14,88,173,27,7,4,4,1,0,3,1,4,5
Montgomery 15,186,221,26,8,5,3,2,1,6,0,6,7
Montgomery 16,176,248,28,8,10,4,0,6,0,1,1,6
Montgomery 17,171,221,16,4,4,3,5,0,1,0,1,13
Montgomery 18,184,335,36,7,5,3,4,6,5,0,5,5
Mount Hope 1,106,185,25,6,1,2,2,5,7,0,7,9
Mount Hope 2,153,289,50,6,5,5,0,8,4,0,4,5
Mount Hope 3,145,305,45,14,7,10,1,6,7,0,7,5
Mount Hope 4,159,304,38,6,6,5,0,4,3,1,4,14
New Windsor 1,123,108,16,6,1,6,1,0,3,0,3,5
New Windsor 2,148,118,14,2,2,1,5,1,2,0,2,6
New Windsor 3,116,152,14,5,4,1,0,2,3,0,3,6
New Windsor 4,159,160,24,6,3,6,2,6,3,0,3,3
New Windsor 5,192,308,34,8,7,5,3,11,9,0,9,11
New Windsor 6,187,138,16,3,3,6,3,5,2,0,2,1
New Windsor 7,124,133,15,5,5,6,2,0,0,0,0,2
New Windsor 8,180,201,19,5,0,3,0,1,5,0,5,4
New Windsor 9,132,120,12,3,3,3,1,0,1,0,1,2
New Windsor 10,308,197,26,7,4,10,1,2,2,0,2,2
New Windsor 11,207,198,26,2,5,2,1,3,1,1,2,4
New Windsor 12,175,88,12,0,1,3,2,0,0,0,0,2
New Windsor 13,219,172,19,7,2,6,3,1,3,0,3,5
New Windsor 14,218,188,25,3,3,2,1,8,2,0,2,2
New Windsor 15,325,235,24,4,5,4,1,2,1,0,1,9
New Windsor 16,244,383,41,10,6,9,1,6,2,2,4,11
New Windsor 17,126,75,6,3,4,3,1,1,0,0,0,3
New Windsor 18,275,189,21,3,5,9,5,3,4,0,4,5
New Windsor 19,352,185,27,9,5,6,5,7,3,0,3,7
New Windsor 20,121,199,35,5,7,3,1,6,2,0,2,4
New Windsor 21,119,229,31,6,1,2,2,15,3,0,3,5
New Windsor 22,88,90,17,3,0,4,0,0,1,1,2,1
Newburgh Town 1,142,119,11,1,6,1,3,1,3,0,3,4
Newburgh Town 2,152,160,16,10,4,4,2,3,0,1,1,0
Newburgh Town 3,191,204,26,2,4,1,3,3,1,0,1,1
Newburgh Town 4,253,205,20,6,13,5,2,2,5,0,5,4
Newburgh Town 5,193,242,33,7,4,3,0,2,2,1,3,0
Newburgh Town 6,159,92,9,3,6,1,0,3,0,0,0,5
Newburgh Town 7,112,155,22,3,3,6,0,3,1,0,1,7
Newburgh Town 8,150,250,26,2,5,5,2,2,3,0,3,8
Newburgh Town 9,221,153,26,6,5,6,5,0,2,0,2,2
Newburgh Town 10,158,147,19,3,3,0,1,1,1,0,1,8
Newburgh Town 11,177,195,20,6,5,5,3,3,2,0,2,5
Newburgh Town 12,156,203,30,2,5,4,2,2,4,0,4,8
Newburgh Town 13,289,211,19,3,6,8,1,3,1,1,2,6
Newburgh Town 14,198,260,32,7,4,4,2,2,0,2,2,7
Newburgh Town 15,277,230,24,4,8,6,4,3,1,0,1,3
Newburgh Town 16,161,220,35,5,2,0,2,4,2,0,2,7
Newburgh Town 17,202,321,38,6,6,3,2,7,5,0,5,7
Newburgh Town 18,199,235,40,7,1,4,2,5,2,0,2,3
Newburgh Town 19,209,299,36,5,6,3,2,2,3,0,3,4
Newburgh Town 20,99,94,10,2,2,1,1,2,1,0,1,3
Newburgh Town 21,172,306,31,9,4,3,3,3,6,1,7,11
Newburgh Town 22,143,187,25,7,4,4,2,5,7,0,7,2
Newburgh Town 23,383,132,14,6,7,3,2,3,6,0,6,4
Newburgh Town 24,185,215,20,3,2,8,2,2,2,0,2,4
Newburgh Town 25,293,226,25,12,10,7,3,4,2,0,2,2
Newburgh Town 26,80,155,20,1,1,3,1,0,3,0,3,3
Newburgh Town 27,151,38,2,3,1,3,0,0,3,0,3,0
Palm Tree 1,20,12,2,0,1,147,1,0,0,0,0,0
Palm Tree 2,40,15,4,0,7,435,8,1,0,0,0,0
Palm Tree 3,15,4,1,0,1,144,1,0,0,0,0,0
Palm Tree 4,38,10,3,0,0,191,4,0,1,1,2,1
Palm Tree 5,45,18,1,0,2,233,4,0,0,0,0,0
Palm Tree 6,1,6,1,0,0,70,0,0,0,0,0,0
Palm Tree 7,39,13,2,0,2,252,3,0,0,0,0,0
Palm Tree 8,56,16,0,0,0,289,5,0,0,0,0,0
Palm Tree 9,48,9,0,0,2,131,6,0,0,0,0,0
Palm Tree 10,41,15,0,0,5,186,6,0,0,0,0,0
Palm Tree 11,41,12,2,0,2,160,3,0,0,0,0,0
Palm Tree 12,37,15,4,0,3,167,4,0,0,0,0,0
Palm Tree 13,81,17,2,0,4,254,6,0,0,0,0,1
Palm Tree 14,72,11,4,0,4,186,6,0,0,0,0,0
Palm Tree 15,60,14,0,1,0,245,5,1,0,0,0,0
Palm Tree 16,46,20,5,0,2,173,5,0,0,0,0,0
Palm Tree 17,40,28,5,0,2,402,8,1,0,0,0,0
Palm Tree 18,2,5,0,0,1,11,0,0,0,0,0,0
Palm Tree 19,3,0,0,0,0,7,0,0,0,0,0,0
Tuxedo 1,119,145,11,9,2,3,1,2,4,1,5,1
Tuxedo 2,166,197,22,11,7,4,2,4,4,0,4,9
Tuxedo 3,139,136,11,6,4,3,3,0,2,0,2,6
Tuxedo 4,211,240,25,4,2,2,0,7,2,0,2,3
Wallkill 1-1,129,174,28,8,6,3,1,4,6,0,6,7
Wallkill 1-2,161,247,44,14,4,9,4,6,1,0,1,12
Wallkill 1-3,198,61,8,3,8,2,1,1,4,0,4,12
Wallkill 1-4,100,111,12,5,3,2,0,3,2,0,2,1
Wallkill 1-5,56,88,5,0,2,1,0,2,0,0,0,7
Wallkill 1-6,207,94,10,6,2,4,0,1,3,0,3,8
Wallkill 1-7,73,123,16,5,1,2,6,2,3,1,4,7
Wallkill 2-1,145,136,17,2,0,1,1,3,0,0,0,2
Wallkill 2-2,163,128,12,4,4,1,1,3,5,0,5,5
Wallkill 2-3,121,77,9,2,1,1,1,1,2,0,2,1
Wallkill 2-4,244,78,6,1,2,0,1,2,4,0,4,3
Wallkill 2-5,165,67,11,5,2,3,0,0,1,0,1,6
Wallkill 2-6,113,96,13,7,1,1,0,1,0,0,0,6
Wallkill 2-7,113,82,6,1,2,4,0,1,0,0,0,4
Wallkill 3-1,272,168,11,8,4,2,2,3,3,1,4,4
Wallkill 3-2,209,131,11,5,6,7,0,0,3,1,4,1
Wallkill 3-3,414,194,25,1,5,6,0,0,4,0,4,3
Wallkill 3-4,262,77,8,2,3,1,2,0,0,0,0,6
Wallkill 3-5,186,122,17,7,5,2,0,3,0,0,0,1
Wallkill 3-6,282,188,29,9,5,5,1,3,3,0,3,6
Wallkill 3-7,396,122,16,6,7,3,0,1,2,0,2,4
Wallkill 4-1,140,236,28,7,5,7,2,3,2,0,2,11
Wallkill 4-2,83,97,14,4,3,2,1,1,0,0,0,1
Wallkill 4-3,131,103,10,4,4,7,1,1,1,0,1,5
Wallkill 4-4,181,237,33,11,4,4,3,4,6,0,6,12
Wallkill 4-5,134,245,30,8,4,3,0,3,0,0,0,7
Warwick 1,132,186,13,7,8,5,1,5,3,1,4,8
Warwick 2,159,275,40,8,1,3,2,5,3,0,3,15
Warwick 3,185,165,16,4,2,3,0,1,4,0,4,6
Warwick 4,233,239,36,17,8,7,5,5,7,1,8,13
Warwick 5,196,141,34,6,3,3,5,5,1,0,1,15
Warwick 6,118,136,30,7,3,5,2,1,0,0,0,10
Warwick 7,116,178,25,5,2,5,2,0,1,0,1,20
Warwick 8,258,198,17,13,7,5,3,1,4,2,6,18
Warwick 9,190,230,26,5,1,2,2,4,2,1,3,12
Warwick 10,132,220,26,11,1,3,0,5,2,0,2,12
Warwick 11,148,197,34,1,4,6,4,7,2,0,2,9
Warwick 12,180,212,29,2,6,6,3,2,5,0,5,18
Warwick 13,200,169,16,8,5,6,0,2,2,0,2,18
Warwick 14,138,189,25,6,4,2,0,4,2,0,2,15
Warwick 15,102,178,22,6,3,5,0,3,1,0,1,9
Warwick 16,180,233,38,7,6,3,6,0,4,0,4,31
Warwick 17,126,190,21,7,1,0,1,3,2,1,3,18
Warwick 18,136,165,24,3,1,0,2,2,0,0,0,9
Warwick 19,167,216,38,11,9,5,1,2,1,0,1,13
Warwick 20,188,245,36,7,9,5,3,2,6,0,6,11
Warwick 21,276,266,48,11,2,4,0,0,3,1,4,6
Warwick 22,225,131,15,10,5,6,1,4,4,0,4,11
Warwick 23,202,211,38,12,4,6,6,3,1,1,2,20
Warwick 24,172,267,38,13,3,6,4,6,2,1,3,13
Warwick 25,173,154,21,8,9,7,2,10,2,0,2,10
Warwick 26,205,212,34,9,4,7,1,4,4,0,4,15
Warwick 27,189,228,41,4,4,10,2,7,3,1,4,13
Warwick 28,161,196,33,7,2,6,2,6,3,0,3,8
Warwick 29,276,62,9,4,5,1,3,2,2,0,2,9
Warwick 30,96,158,15,4,1,2,1,1,1,1,2,14
Warwick 31,90,127,13,7,1,1,0,1,0,0,0,10
Wawayanda 1,154,262,40,11,4,3,2,4,2,0,2,9
Wawayanda 2,207,207,19,10,7,2,2,3,5,0,5,7
Wawayanda 3,149,248,30,9,1,4,1,5,3,1,4,12
Wawayanda 4,139,213,22,7,1,4,2,1,2,1,3,5
Wawayanda 5,102,238,22,6,2,6,2,3,4,0,4,6
Wawayanda 6,165,319,30,14,6,3,3,3,3,0,3,9
Woodbury 1,116,178,31,9,5,5,2,9,4,0,4,6
Woodbury 2,157,192,20,4,1,5,2,4,7,1,8,15
Woodbury 3,179,192,23,11,4,10,3,10,5,0,5,9
Woodbury 4,128,154,16,11,2,5,4,6,1,0,1,7
Woodbury 5,259,247,27,14,4,2,4,9,3,1,4,6
Woodbury 6,168,209,32,7,10,4,2,9,5,0,5,13
Woodbury 7,160,149,18,4,0,2,2,6,6,0,6,4
Woodbury 8,130,251,23,5,1,0,1,5,3,0,3,1
Woodbury 9,117,42,5,5,1,1,0,0,1,0,1,2
Woodbury 10,263,257,36,6,5,2,2,7,17,0,17,12